name,highway,geometry
Satara Road,trunk,"LINESTRING (73.8575631 18.4683442, 73.8575181 18.4686587, 73.8575033 18.4687626, 73.8574917 18.468823, 73.8574462 18.4690597, 73.8574161 18.469216, 73.8573624 18.4694526, 73.8572971 18.4696813, 73.857229 18.4698959, 73.8571037 18.4702905, 73.8570224 18.4705369, 73.8569776 18.4706875, 73.8569524 18.4707488, 73.8568774 18.4709316, 73.8568159 18.4711021, 73.8567969 18.4711549, 73.8567558 18.4712887, 73.8566972 18.4714794, 73.8566791 18.4715382, 73.8565504 18.471957, 73.8565133 18.4720775, 73.856432 18.4723653, 73.8564069 18.4724475, 73.85639 18.4725492, 73.8562721 18.4732581, 73.8562646 18.4735247)"
Satara Road,trunk,"LINESTRING (73.8564002 18.4744627, 73.8564451 18.4737135, 73.8564651 18.473562)"
Satara Road,trunk,"LINESTRING (73.8578005 18.4924118, 73.8577978 18.4923407, 73.8577866 18.4919474)"
Satara Road,trunk,"LINESTRING (73.857467 18.4861353, 73.8574415 18.4863961, 73.8574205 18.4865773)"
Satara Road,trunk,"LINESTRING (73.8580054 18.4641327, 73.8579684 18.4645496)"
Satara Road,trunk,"LINESTRING (73.8580737 18.4656272, 73.8581254 18.465127)"
Satara Road,trunk,"LINESTRING (73.8580166 18.4663666, 73.8580477 18.4659583, 73.8580737 18.4656272)"
Satara Road,trunk,"LINESTRING (73.8579646 18.4670404, 73.8579945 18.4665981, 73.8580166 18.4663666)"
Satara Road,trunk,"LINESTRING (73.8578747 18.4678177, 73.8579646 18.4670404)"
Satara Road,trunk,"LINESTRING (73.8582958 18.463597, 73.8583052 18.4634838, 73.8583033 18.4632196)"
Satara Road,trunk,"LINESTRING (73.8579703 18.4605499, 73.8579704 18.4606432, 73.8579949 18.4611096, 73.8580248 18.4615947, 73.8580744 18.4624627)"
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.7663803 18.5672849, 73.7658017 18.5688355, 73.7654745 18.5697025, 73.7646604 18.5718772)"
"['Katraj - Dehu Road Bypass', 'Westerly Diversion']",trunk,"LINESTRING (73.7665841 18.5671161, 73.7676556 18.5642444, 73.7687482 18.5611989, 73.768811 18.5610261, 73.7694814 18.5591166, 73.7694967 18.5590731)"
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.7647677 18.5719666, 73.7655995 18.5697445, 73.7659268 18.5688775, 73.7665841 18.5671161)"
Old Pune–Mumbai Highway,trunk,"LINESTRING (73.8516157 18.5443348, 73.8517684 18.5465159, 73.8517591 18.5467064, 73.8517276 18.5470723, 73.8517084 18.547217, 73.8516554 18.5475083, 73.8516095 18.5476371, 73.8515054 18.5479177)"
Shivaji Road,trunk,"LINESTRING (73.8561747 18.5192133, 73.8562076 18.5186487, 73.8562138 18.518542)"
Shivaji Road,trunk,"LINESTRING (73.8556954 18.5206653, 73.8558408 18.5205286, 73.856029 18.5203046, 73.8560368 18.5202954, 73.856056 18.5202656, 73.8561095 18.5201824, 73.8561283 18.5200921)"
Jagannath Shankarsheth Marg,trunk,"LINESTRING (73.8664002 18.5003601, 73.8661886 18.5002411, 73.8660893 18.500194, 73.8658401 18.5000912, 73.8657853 18.5000686, 73.8655004 18.5000008, 73.8654068 18.4999785, 73.8652209 18.4999434, 73.8650256 18.4999065, 73.8649343 18.4998893, 73.8645963 18.4998419, 73.8643202 18.499826, 73.8641122 18.4998273, 73.8640108 18.4998328, 73.8635684 18.4998566, 73.8634222 18.4998645, 73.8633201 18.4998806, 73.8632296 18.4998949)"
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.7751332 18.5443134, 73.7760235 18.5435095)"
